SoldAs,IdentifiedAs,CommonName,Mislabelled,PurchaseLocation,City,Year,ExpectedGen,ExpectedMoreGen,RealGen,RealMoreGen,isMislabelled
"Salmon, King","Oncorhynchus
tshawytscha","Chinook salmon (Pink
chinook, King salmon,
Chinook salmon, Spring
salmon, Chinook, Red
Chinook, White Chinook)",No,Restaurant,toronto,2018,"Salmon, King",Salmon,Chinook salmon,Salmon,0
"Salmon, Ora King","Oncorhynchus
tshawytscha","Chinook salmon (Pink
chinook, King salmon,
Chinook salmon, Spring
salmon, Chinook, Red
Chinook, White Chinook)",No,Restaurant,toronto,2018,"Salmon, Ora King",Salmon,Chinook salmon,Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon (Sockeye
salmon, Red salmon, Red
sockeye salmon)",No,Restaurant,toronto,2018,"Salmon, Sockeye",Salmon,Sockeye salmon,Salmon,0
"Salmon, sockeye","Oncorhynchus
nerka","Sockeye salmon (Sockeye
salmon, Red salmon, Red
sockeye salmon)",No,Restaurant,toronto,2018,"Salmon, sockeye",Salmon,Sockeye salmon,Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon (Sockeye
salmon, Red salmon, Red
sockeye salmon)",No,Restaurant,toronto,2018,"Salmon, Sockeye",Salmon,Sockeye salmon,Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon (Sockeye
salmon, Red salmon, Red
sockeye salmon)",No,Grocerystore,toronto,2018,"Salmon, Sockeye",Salmon,Sockeye salmon,Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon (Sockeye
salmon, Red salmon, Red
sockeye salmon)",No,Grocerystore,toronto,2018,"Salmon, Sockeye",Salmon,Sockeye salmon,Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon (Sockeye
salmon, Red salmon, Red
sockeye salmon)",No,Restaurant,toronto,2018,"Salmon, Sockeye",Salmon,Sockeye salmon,Salmon,0
"Sea Bass, Chilean","Dissostichus
mawsoni","Antarctic toothfish
(Antarctic toothfish)",Yes,Restaurant,toronto,2018,"Sea Bass, Chilean",Bass,"Antarctic toothfish
","toothfish
",1
"Sea Bass, Chilean","Dissostichus
eleginoides","Patagonian
toothfish (Patagonian
toothfish)",Yes,Grocerystore,toronto,2018,"Sea Bass, Chilean",Bass,"Patagonian
toothfish","toothfish
",1
Snapper,"Oreochromis
niloticus","Nile tilapia (Nile tilapia,
Tilapia)",Yes,Restaurant,toronto,2018,Snapper,Snapper,Nile tilapia,Tilapia,1
Snapper,"Oreochromis
niloticus","Nile tilapia (Nile tilapia,
Tilapia)",Yes,Restaurant,toronto,2018,Snapper,Snapper,Nile tilapia,Tilapia,1
Snapper,"Oreochromis
mossambicus","Mozambique tilapia
(Tilapia, Mozambique
tilapia)",Yes,Restaurant,toronto,2018,Snapper,Snapper,"Mozambique tilapia
",Tilapia,1
"Snapper, Japanese",Pagrus major,"Japanese seabream
(Genuine Porgy, Japanese
seabream, Silver
seabream)",Yes,Restaurant,toronto,2018,"Snapper, Japanese",Snapper,"Japanese seabream
","seabream
",1
"Snapper, Pacific","Sebastes
melanostictus","Blackspotted
rockfish (n/a)",Yes - not on CFIA's Fish List,Grocerystore,toronto,2018,"Snapper, Pacific",Snapper,"Blackspotted
rockfish","rockfish
",0
"Snapper, Red","Oreochromis
mossambicus","Mozambique tilapia
(Tilapia, Mozambique
tilapia)",Yes,Restaurant,toronto,2018,"Snapper, Red",Snapper,"Mozambique tilapia
",Tilapia,1
"Snapper, Red","Rhomboplites
aurorubens","Beeliner (Beeliner, B-liner)",Yes,Restaurant,toronto,2018,"Snapper, Red",Snapper,Beeliner,Beeliner,1
"Snapper, Red",Lutjanus bohar,"Two-spotted red
snapper; Twinspot
Snapper (n/a)","Yes - species substitution and not
on CFIA's Fish List",Restaurant,toronto,2018,"Snapper, Red",Snapper,Two,Two,0
"Snapper, Red","Sebastes mentella
or Sebastes
norvegicus","S. mentella: Ocean perch
(Rosefish, Beaked redfish,
Atlantic Ocean perch,
Atlantic rosefish, Redfish,
Ocean perch) S.
norvegicus: Golden redifsh
(Rockfish, Golden redfish)",Yes,Restaurant,toronto,2018,"Snapper, Red",Snapper,"S. mentella: Ocean perch
",perch,1
"Snapper, Red","Rhomboplites
aurorubens","Beeliner (Beeliner, B-liner)",Yes,Restaurant,toronto,2018,"Snapper, Red",Snapper,Beeliner,Beeliner,1
"Snapper, Red","Oreochromis
niloticus","Nile tilapia (Nile tilapia,
Tilapia)",Yes,Restaurant,toronto,2018,"Snapper, Red",Snapper,Nile tilapia,Tilapia,1
"Snapper, Red","Sebastes
fasciatus","Acadian redfish (Rosefish,
Ocean perch, Acadian
redfish, Atlantic rosefish,
Redfish, Atlantic ocean
perch)",Yes,Restaurant,toronto,2018,"Snapper, Red",Snapper,Acadian redfish,redfish,1
"Snapper, Red","Oreochromis
niloticus","Nile tilapia (Nile tilapia,
Tilapia)",Yes,Restaurant,toronto,2018,"Snapper, Red",Snapper,Nile tilapia,Tilapia,1
"Snapper, Red","Rhomboplites
aurorubens","Beeliner (Beeliner, B-liner)",Yes,Restaurant,toronto,2018,"Snapper, Red",Snapper,Beeliner,Beeliner,1
"Snapper, Red","Oreochromis
aureus",Blue tilapia (n/a),"Yes - species substitution and not
on CFIA's Fish List",Restaurant,toronto,2018,"Snapper, Red",Snapper,Blue tilapia,Tilapia,0
Sole,"Lepidopsetta
polyxystra",Northern rock sole (n/a),Yes - not on CFIA's Fish List,Grocerystore,toronto,2018,Sole,Sole,Northern rock sole,Sole,0
Sole,"Reinhardtius
hippoglossoides","Greenland turbot
(Greenland turbot, Black
turbot, Turbot, American
turbot, Newfoundland
turbot)",Yes,Restaurant,toronto,2018,Sole,Sole,"Greenland turbot
",Turbot,1
"Sole, Dover",Solea solea,Common sole,Yes - not on CFIA's Fish List,Restaurant,toronto,2018,"Sole, Dover",Sole,Common sole,Sole,0
"Sole, Dover",Solea solea,Common sole,Yes - not on CFIA's Fish List,Restaurant,toronto,2018,"Sole, Dover",Sole,Common sole,Sole,0
"Sole, Dover",Solea solea,Common sole,Yes - not on CFIA's Fish List,Restaurant,toronto,2018,"Sole, Dover",Sole,Common sole,Sole,0
"Sole, Dover",Solea solea,Common sole,Yes - not on CFIA's Fish List,Restaurant,toronto,2018,"Sole, Dover",Sole,Common sole,Sole,0
Sole,"Hippoglossoides
elassodon or
Hippoglossoides
robustus","Flathead sole or
Bering flounder",No,Grocerystore,toronto,2018,Sole,Sole,"Flathead sole or
Bering flounder",flounder,0
Sole,"Pangasianodon
(Pangasius)
hypophthalmus","Striped catfish (Pangasius,
Basa, Sutchi catfish)",Yes,Restaurant,toronto,2018,Sole,Sole,Striped catfish,Catfish,1
"Sole, Lemon","Paralichthys
dentatus","Summer flounder
(Summer flounder, Fluke,
Flounder)",Yes,Fishmarket,toronto,2018,"Sole, Lemon",Sole,"Summer flounder
",flounder,1
"Trout, Ocean","Oncorhynchus
mykiss","Rainbow trout (Rainbow
trout, Trout, Steelhed
trout, Steelhead, Deep sea
trout, Steelhead salmon)","Yes - Ocean trout is not an
acceptable market name",Restaurant,toronto,2018,"Trout, Ocean",Trout,Rainbow trout,Trout,0
"Trout, Rainbow","Oncorhynchus
mykiss","Rainbow trout (Rainbow
trout, Trout, Steelhed
trout, Steelhead, Deep sea
trout, Steelhead salmon)",No,Restaurant,toronto,2018,"Trout, Rainbow",Trout,Rainbow trout,Trout,0
"Trout, Rainbow","Oncorhynchus
mykiss","Rainbow trout (Rainbow
trout, Trout, Steelhed
trout, Steelhead, Deep sea
trout, Steelhead salmon)",No,Restaurant,toronto,2018,"Trout, Rainbow",Trout,Rainbow trout,Trout,0
Tuna,"Thunnus
albacares","Yellowfin tuna (Tuna,
Yellowfin tuna, Yellowfin)",No,Restaurant,toronto,2018,Tuna,Tuna,Yellowfin tuna,tuna ,0
"Tuna, Bluefin",Thunnus thynnus,"Atlantic bluefin tuna
(Tuna, Atlantic bluefin
tuna, Bluefin tuna,
Northern bluefin tuna)",No,Restaurant,toronto,2018,"Tuna, Bluefin",Tuna,"Atlantic bluefin tuna
",tuna ,0
"Tuna, Bluefin",Thunnus thynnus,"Atlantic bluefin tuna
(Tuna, Atlantic bluefin
tuna, Bluefin tuna,
Northern bluefin tuna)",No,Restaurant,toronto,2018,"Tuna, Bluefin",Tuna,"Atlantic bluefin tuna
",tuna ,0
"Tuna, Bluefin",Thunnus orientalis,"Pacific bluefin tuna
(Pacific bluefin tuna,
Bluefin tuna, Oriental
tuna, Tuna)",No,Restaurant,toronto,2018,"Tuna, Bluefin",Tuna,"Pacific bluefin tuna
",tuna ,0
"Tuna, Red",Thunnus orientalis,"Pacific bluefin tuna
(Pacific bluefin tuna,
Bluefin tuna, Oriental
tuna, Tuna)","Yes - Red tuna is not an
acceptable market name",Restaurant,toronto,2018,"Tuna, Red",Tuna,"Pacific bluefin tuna
",tuna ,0
"Tuna, White","Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,toronto,2018,"Tuna, White",Tuna,Escolar,Escolar,1
"Tuna, White","Oreochromis
niloticus","Nile tilapia (Nile tilapia,
Tilapia)",Yes,Restaurant,toronto,2018,"Tuna, White",Tuna,Nile tilapia,Tilapia,1
"Tuna, White","Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,toronto,2018,"Tuna, White",Tuna,Escolar,Escolar,1
"Tuna, White","Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,toronto,2018,"Tuna, White",Tuna,Escolar,Escolar,1
"Tuna, White","Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,toronto,2018,"Tuna, White",Tuna,Escolar,Escolar,1
"Tuna, White","Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,toronto,2018,"Tuna, White",Tuna,Escolar,Escolar,1
Yellowtail,"Seriola
quinqueradiata","Japanese
amberjack (Japanese
Amberjack)",Yes,Restaurant,toronto,2018,Yellowtail,Yellowtail,"Japanese
amberjack",Amberjack,1
Yellowtail,"Seriola
quinqueradiata","Japanese
amberjack (Japanese
Amberjack)",Yes,Restaurant,toronto,2018,Yellowtail,Yellowtail,"Japanese
amberjack",Amberjack,1
Yellowtail,"Seriola
quinqueradiata","Japanese
amberjack (Japanese
Amberjack)",Yes,Restaurant,toronto,2018,Yellowtail,Yellowtail,"Japanese
amberjack",Amberjack,1
Yellowtail,"Seriola
quinqueradiata","Japanese
amberjack (Japanese
Amberjack)",Yes,Restaurant,toronto,2018,Yellowtail,Yellowtail,"Japanese
amberjack",Amberjack,1
Yellowtail,"Seriola
quinqueradiata","Japanese
amberjack (Japanese
Amberjack)",Yes,Restaurant,toronto,2018,Yellowtail,Yellowtail,"Japanese
amberjack",Amberjack,1
Black Cod,Anoplopoma fimbria,"Sablefish (Black cod,
Sablefish)",No,Restaurant,vancouver,2018,Black Cod,Cod,Sablefish,Sablefish,0
Black cod,Anoplopoma fimbria,"Sablefish (Black cod,
Sablefish)",No,Restaurant,vancouver,2018,Black cod,Cod,Sablefish,Sablefish,0
Cod,"Pangasianodon
(Pangasius)
hypophthalmus","Striped catfish
(Pangasius, Basa, Sutchi
catfish)",Yes,Restaurant,vancouver,2018,Cod,Cod,"Striped catfish
",Catfish,1
"Cod, Pacific",Gadus morhua,"Atlantic cod (Atlantic
cod, Cod)",Yes,Restaurant,vancouver,2018,"Cod, Pacific",Cod,Atlantic cod,Cod,1
"Cod, Pacific",Gadus macrocephalus,"Pacific cod (Pacific cod,
Cod)",No,Restaurant,vancouver,2018,"Cod, Pacific",Cod,Pacific cod,Cod,0
"Cod, Pacific",Gadus macrocephalus,"Pacific cod (Pacific cod,
Cod)",No,Grocerystore,vancouver,2018,"Cod, Pacific",Cod,Pacific cod,Cod,0
"Cod, Pacific",Gadus macrocephalus,"Pacific cod (Pacific cod,
Cod)",No,Grocerystore,vancouver,2018,"Cod, Pacific",Cod,Pacific cod,Cod,0
"Cod, Pacific",Gadus macrocephalus,"Pacific cod (Pacific cod,
Cod)",No,Grocerystore,vancouver,2018,"Cod, Pacific",Cod,Pacific cod,Cod,0
"Cod, Pacific",Gadus macrocephalus,"Pacific cod (Pacific cod,
Cod)",No,Restaurant,vancouver,2018,"Cod, Pacific",Cod,Pacific cod,Cod,0
"Crab, Dungeness",Metacarcinus edwardsii,Rock crab (n/a),"Yes - species substitution and not
on CFIA's Fish List",Restaurant,vancouver,2018,"Crab, Dungeness",Crab,Rock crab,Crab,0
"Crab, Dungeness","Metacarcinus (Cancer)
magister","Dungeness Crab
(Dungeness crab,
Pacific crab, Crab)",No,Restaurant,vancouver,2018,"Crab, Dungeness",Crab,"Dungeness Crab
",Crab,0
"Crab, Snow",Chionoecetes opilio,"Snow crab (Opilio,
Snow crab, Queen crab,
Atlantic snow crab,
crab)",No,Restaurant,vancouver,2018,"Crab, Snow",Crab,Snow crab,Crab,0
Haddock,"Melanogrammus
aeglefinus",Haddock (Haddock),No,Restaurant,vancouver,2018,Haddock,Haddock,Haddock,Haddock,0
Halibut,Hippoglossus stenolepis,"Pacific halibut (Pacific
halibut, Halibut)",No,Restaurant,vancouver,2018,Halibut,Halibut,Pacific halibut,Halibut,0
"Halibut, Alaskan","Hippoglossus
stenolepis","Pacific halibut (Pacific
halibut, Halibut)",No,Restaurant,vancouver,2018,"Halibut, Alaskan",Halibut,Pacific halibut,Halibut,0
"Halibut, Atlantic",Hippoglossus stenolepis,"Pacific halibut (Pacific
halibut, Halibut)",Yes,Grocerystore,vancouver,2018,"Halibut, Atlantic",Halibut,Pacific halibut,Halibut,1
"Halibut, Atlantic",Hippoglossus stenolepis,"Pacific halibut (Pacific
halibut, Halibut)",Yes,Restaurant,vancouver,2018,"Halibut, Atlantic",Halibut,Pacific halibut,Halibut,1
"Halibut, Pacific","Melanogrammus
aeglefinus",Haddock (Haddock),Yes,Restaurant,vancouver,2018,"Halibut, Pacific",Halibut,Haddock,Haddock,1
"Halibut, Pacific","Hippoglossus
stenolepis","Pacific halibut (Pacific
halibut, Halibut)",No,Restaurant,vancouver,2018,"Halibut, Pacific",Halibut,Pacific halibut,Halibut,0
"Halibut, Pacific","Hippoglossus
stenolepis","Pacific halibut (Pacific
halibut, Halibut)",No,Grocerystore,vancouver,2018,"Halibut, Pacific",Halibut,Pacific halibut,Halibut,0
Lingcod,Ophiodon elongatus,Lingcod (Lingcod),No,Restaurant,vancouver,2018,Lingcod,Cod,Lingcod,Lingcod,0
Monkfish,Lophius americanus,"Monkfish (Monkfish,
Monk, Stargazer)",No,Restaurant,vancouver,2018,Monkfish,Monkfish,Monkfish,Monkfish,0
"Prawn, Spot",Pandalus platyceros,"Spot prawn (Spot
shrimp, Spot Prawn,
Prawn, Shrimp)",No,Restaurant,vancouver,2018,"Prawn, Spot",Prawn,Spot prawn,prawn,0
"Prawn, Spot",Pandalus platyceros,"Spot prawn (Spot
shrimp, Spot Prawn,
Prawn, Shrimp)",No,Restaurant,vancouver,2018,"Prawn, Spot",Prawn,Spot prawn,prawn,0
"Prawn, Spot",Pandalus platyceros,"Spot prawn (Spot
shrimp, Spot Prawn,
Prawn, Shrimp)",No,Restaurant,vancouver,2018,"Prawn, Spot",Prawn,Spot prawn,prawn,0
"Prawn, BC Spot",Pandalus platyceros,"Spot prawn (Spot
shrimp, Spot Prawn,
Prawn, Shrimp)",No,Restaurant,vancouver,2018,"Prawn, BC Spot",Prawn,Spot prawn,prawn,0
"Prawn, BC Spot",Pandalus platyceros,"Spot prawn (Spot
shrimp, Spot Prawn,
Prawn, Shrimp)",No,Restaurant,vancouver,2018,"Prawn, BC Spot",Prawn,Spot prawn,prawn,0
Sablefish,Anoplopoma fimbria,"Sablefish (Black cod,
Sablefish)",,Restaurant,vancouver,2018,Sablefish,Sablefish,Sablefish,Sablefish,0
"Sablefish,Haida Gwaii",Anoplopoma fimbria,"Sablefish (Black cod,
Sablefish)",No,Restaurant,vancouver,2018,"Sablefish,Haida Gwaii",Sablefish,Sablefish,Sablefish,0
"Salmon, Chinook","Oncorhynchus
tshawytscha","Chinook salmon (Pink
chinook, King salmon,
Chinook salmon, Spring
salmon, Chinook, Red
Chinook, White
Chinook)",No,Grocerystore,vancouver,2018,"Salmon, Chinook",Salmon,Chinook salmon,Salmon,0
"Salmon, Chum",Oncorhynchus keta,"Chum salmon (Chum
salmon, Keta salmon,
Silverbrite salmon)",No,Grocerystore,vancouver,2018,"Salmon, Chum",Salmon,Chum salmon,Salmon,0
"Salmon, Coho","Oncorhynchus
kisutch","Coho salmon (Coho
salmon, Medium red
coho salmon, Blueback
salmon)",No,Restaurant,vancouver,2018,"Salmon, Coho",Salmon,Coho salmon,Salmon,0
"Salmon, King","Oncorhynchus
tshawytscha","Chinook salmon (Pink
chinook, King salmon,
Chinook salmon, Spring
salmon, Chinook, Red",No,Restaurant,vancouver,2018,"Salmon, King",Salmon,Chinook salmon,Salmon,0
"Salmon, Sockeye",Oncorhynchus keta,"Chum salmon (Chum
salmon, Keta salmon,
Silverbrite salmon)",Yes,Restaurant,vancouver,2018,"Salmon, Sockeye",Salmon,Chum salmon,Salmon,1
"Salmon, Sockeye",Oncorhynchus mykiss,"Rainbow trout
(Rainbow trout, Trout,
Steelhed trout,
Steelhead, Deep sea
trout, Steelhead
salmon)",Yes,Gift store,vancouver,2018,"Salmon, Sockeye",Salmon,"Rainbow trout
",Trout,1
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Restaurant,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Restaurant,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Restaurant,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Grocerystore,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Grocerystore,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Restaurant,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Grocerystore,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Restaurant,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Grocerystore,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Restaurant,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Restaurant,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red",No,Restaurant,vancouver,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Spring","Oncorhynchus
tshawystcha","Chinook salmon (Pink
chinook, King salmon,
Chinook salmon, Spring
salmon, Chinook, Red
Chinook, White
Chinook)",No,Restaurant,vancouver,2018,"Salmon, Spring",Salmon,Chinook salmon,Salmon,0
"Salmon, Steelhead",Oncorhynchus mykiss,"Rainbow trout
(Rainbow trout, Trout,
Steelhed trout,
Steelhead, Deep sea
trout, Steelhead
salmon)",No,Restaurant,vancouver,2018,"Salmon, Steelhead",Salmon,"Rainbow trout
",Trout,0
Scallop,Patinopecten yessoensis,"Japanese scallop
(Japanese scallop,
Scallop)",No,Restaurant,vancouver,2018,Scallop,Scallop,"Japanese scallop
",Scallop,0
Seabass,Decentratchus labrax,"European seabass (Sea
bass)
European seabass (Sea
bass)",No,Restaurant,vancouver,2018,Seabass,Bass,European seabass,seabass,0
Seabass,Decentratchus labrax,"European seabass (Sea
bass)
European seabass (Sea
bass)",No,Restaurant,vancouver,2018,Seabass,Bass,European seabass,seabass,0
"Seabass, Chilean","Dissostichus
eleginoides","Patagonian
toothfish (Patagonian
toothfish)",Yes,Grocerystore,vancouver,2018,"Seabass, Chilean",Bass,"Patagonian
toothfish","toothfish
",1
"Seabass, Mediterranean",Dicentrarchus labrax,"European seabass (Sea
bass)",No,Restaurant,vancouver,2018,"Seabass, Mediterranean",Bass,European seabass,seabass,0
Seabream,Pagrus major,"Japanese seabream
(Genuine Porgy,
Japanese seabream,
Silver seabream)",Yes,Restaurant,vancouver,2018,Seabream,Seabream,"Japanese seabream
","seabream
",1
Snapper,"Oreochromis
niloticus","Nile tilapia (Nile tilapia,
Tilapia)",Yes,Restaurant,vancouver,2018,Snapper,Snapper,Nile tilapia,Tilapia,1
Snapper,Sebastes zacentrus,"Sharpchin rockfish
(Sharpchin rockfish)",Yes,Grocerystore,vancouver,2018,Snapper,Snapper,"Sharpchin rockfish
","rockfish
",1
Snapper,Sebastes brevispinis,"Silvergray rockfish
(Pacific Snapper,
Rockfish, Silvergray
rockfish)",Yes,Grocerystore,vancouver,2018,Snapper,Snapper,"Silvergray rockfish
","rockfish
",1
Snapper,"Oreochromis
niloticus","Nile tilapia (Nile tilapia,
Tilapia)",Yes,Restaurant,vancouver,2018,Snapper,Snapper,Nile tilapia,Tilapia,1
Snapper,"Sebastes mystinus or
Sebastes entomelas","S. mystinus: Blue
rockfish (n/a); S.
entomelas: Widow
rockfish (Rockfish,
Pacific Snapper, Widow
rockfish)","Yes - S. mystinus not on CFIA Fish
List; Snapper not acceptable
market name for either",Restaurant,vancouver,2018,Snapper,Snapper,"S. mystinus: Blue
rockfish","rockfish
",0
"Snapper, Pacific",Sebastes alutus,"Pacific ocean perch
(Rockfish, Rosefish,
Redfish, Ocean perch,
Pacific Ocean perch)",Yes,Grocerystore,vancouver,2018,"Snapper, Pacific",Snapper,"Pacific ocean perch
",perch,1
"Snapper, Red",Oreochromis aureus,Blue tilapia (n/a),"Yes - species substitution and not
on CFIA's Fish List",Restaurant,vancouver,2018,"Snapper, Red",Snapper,Blue tilapia,Tilapia,0
"Snapper, Red",Pagrus major,"Japanese seabream
(Genuine Porgy,
Japanese seabream,
Silver seabream)",Yes,Restaurant,vancouver,2018,"Snapper, Red",Snapper,"Japanese seabream
","seabream
",1
Sole,Limanda aspera,"Yellowfin sole (Yellowfin
sole, Sole, Flounder)",No,Grocerystore,vancouver,2018,Sole,Sole,Yellowfin sole,Sole,0
Sole,Microstomus pacificus,"Dover sole (Flounder,
Dover Sole, Sole)",No,Grocerystore,vancouver,2018,Sole,Sole,Dover sole,Sole,0
Sole,Eopsetta jordani,"Petrale sole (Sole,
Petrale sole, Flounder,
Brill)",No,Grocerystore,vancouver,2018,Sole,Sole,Petrale sole,Sole,0
Sole,Microstomus pacificus,"Dover sole (Flounder,
Dover Sole, Sole)",No,Grocerystore,vancouver,2018,Sole,Sole,Dover sole,Sole,0
Sole,Limanda aspera,"Yellowfin sole (Yellowfin
sole, Sole, Flounder)",No,Grocerystore,vancouver,2018,Sole,Sole,Yellowfin sole,Sole,0
"Sole, Pacific Dover",Microstomus pacificus,"Dover sole (Flounder,
Dover Sole, Sole)",No,Grocerystore,vancouver,2018,"Sole, Pacific Dover",Sole,Dover sole,Sole,0
"Sole, Petrale",Eopsetta jordani,"Petrale sole (Sole,
Petrale sole, Flounder,
Brill)",No,Restaurant,vancouver,2018,"Sole, Petrale",Sole,Petrale sole,Sole,0
"Sole, Petrale",Eopsetta jordani,"Petrale sole (Sole,
Petrale sole, Flounder,
Brill)",No,Grocerystore,vancouver,2018,"Sole, Petrale",Sole,Petrale sole,Sole,0
Steelhead,Oncorhynchus mykiss,"Rainbow trout
(Rainbow trout, Trout,
Steelhed trout,
Steelhead, Deep sea
trout, Steelhead
salmon)",No,Restaurant,vancouver,2018,Steelhead,Steelhead,"Rainbow trout
",Trout,0
Swordfish,Xiphias gladius,Swordfish (Swordfish),No,Restaurant,vancouver,2018,Swordfish,Swordfish,Swordfish,Swordfish,0
Tuna,Thunnus alalunga,"Albacore tuna
(Albacore tuna, Tuna,
Albacore)",No,Restaurant,vancouver,2018,Tuna,Tuna,"Albacore tuna
",tuna ,0
Tuna,Thunnus alalunga,"Albacore tuna
(Albacore tuna, Tuna,
Albacore)",No,Restaurant,vancouver,2018,Tuna,Tuna,"Albacore tuna
",tuna ,0
"Tuna, Bluefin",Thunnus orientalis,"Pacific bluefin tuna
(Pacific bluefin tuna,
Bluefin tuna, Oriental
tuna, Tuna)",No,Restaurant,vancouver,2018,"Tuna, Bluefin",Tuna,"Pacific bluefin tuna
",tuna ,0
"Tuna, Bluefin",Thunnus orientalis,"Pacific bluefin tuna
(Pacific bluefin tuna,
Bluefin tuna, Oriental
tuna, Tuna)",No,Restaurant,vancouver,2018,"Tuna, Bluefin",Tuna,"Pacific bluefin tuna
",tuna ,0
"Tuna, Bluefin",Thunnus orientalis,"Pacific bluefin tuna
(Pacific bluefin tuna,
Bluefin tuna, Oriental
tuna, Tuna)",No,Restaurant,vancouver,2018,"Tuna, Bluefin",Tuna,"Pacific bluefin tuna
",tuna ,0
"Tuna, Bluefin",Thunnus orientalis,"Pacific bluefin tuna
(Pacific bluefin tuna,
Bluefin tuna, Oriental
tuna, Tuna)",No,Restaurant,vancouver,2018,"Tuna, Bluefin",Tuna,"Pacific bluefin tuna
",tuna ,0
"Tuna, Bluefin",Thunnus orientalis,"Pacific bluefin tuna
(Pacific bluefin tuna,
Bluefin tuna, Oriental
tuna, Tuna)",No,Restaurant,vancouver,2018,"Tuna, Bluefin",Tuna,"Pacific bluefin tuna
",tuna ,0
Yellowtail,"Seriola
quinqueradiata","Japanese
amberjack (Japanese
Amberjack)",Yes,Restaurant,vancouver,2018,Yellowtail,Yellowtail,"Japanese
amberjack",Amberjack,1
Yellowtail,"Seriola
quinqueradiata","Japanese
amberjack (Japanese
Amberjack)",Yes,Restaurant,vancouver,2018,Yellowtail,Yellowtail,"Japanese
amberjack",Amberjack,1
Yellowtail,"Seriola
quinqueradiata","Japanese
amberjack (Japanese
Amberjack)",Yes,Restaurant,vancouver,2018,Yellowtail,Yellowtail,"Japanese
amberjack",Amberjack,1
Yellowtail,"Seriola
quinqueradiata","Japanese
amberjack (Japanese
Amberjack)",Yes,Restaurant,vancouver,2018,Yellowtail,Yellowtail,"Japanese
amberjack",Amberjack,1
